#Duplication rate	Coverage
1.0	620748.0
2.0	247072.0
3.0	117531.0
4.0	62014.0
5.0	35110.0
6.0	20917.0
7.0	12949.0
8.0	8148.0
9.0	5442.0
10.0	3728.0
11.0	2492.0
12.0	1730.0
13.0	1140.0
14.0	827.0
15.0	558.0
16.0	381.0
17.0	262.0
18.0	199.0
19.0	133.0
20.0	101.0
21.0	78.0
22.0	48.0
23.0	47.0
24.0	25.0
25.0	29.0
26.0	32.0
27.0	16.0
28.0	20.0
29.0	13.0
30.0	19.0
31.0	19.0
32.0	23.0
33.0	14.0
34.0	9.0
35.0	19.0
36.0	15.0
37.0	10.0
38.0	13.0
39.0	16.0
40.0	10.0
41.0	10.0
42.0	17.0
43.0	9.0
44.0	16.0
45.0	11.0
46.0	8.0
47.0	2.0
48.0	7.0
49.0	4.0
50.0	34.0
