#Coverage	Number of genomic locations
0.0	3263728.0
1.0	2619.0
2.0	458.0
3.0	218.0
4.0	139.0
5.0	84.0
6.0	67.0
7.0	104.0
8.0	73.0
9.0	133.0
10.0	85.0
11.0	82.0
12.0	66.0
13.0	38.0
14.0	27.0
15.0	30.0
16.0	17.0
17.0	9.0
18.0	5.0
19.0	10.0
20.0	15.0
21.0	11.0
22.0	10.0
23.0	5.0
24.0	6.0
25.0	4.0
26.0	7.0
27.0	11.0
28.0	8.0
29.0	12.0
30.0	20.0
31.0	6.0
32.0	6.0
33.0	6.0
34.0	3.0
35.0	5.0
36.0	5.0
37.0	2.0
39.0	2.0
41.0	1.0
42.0	1.0
43.0	1.0
44.0	1.0
45.0	2.0
47.0	3.0
48.0	2.0
51.0	1.0
52.0	4.0
54.0	1.0
55.0	1.0
56.0	2.0
57.0	1.0
58.0	1.0
60.0	1.0
62.0	2.0
68.0	1.0
70.0	1.0
74.0	2.0
76.0	1.0
79.0	1.0
80.0	1.0
83.0	1.0
85.0	1.0
86.0	1.0
90.0	1.0
91.0	1.0
92.0	1.0
93.0	1.0
95.0	1.0
97.0	1.0
100.0	2.0
102.0	1.0
103.0	1.0
105.0	2.0
107.0	3.0
108.0	4.0
109.0	3.0
110.0	2.0
112.0	3.0
113.0	1.0
114.0	2.0
115.0	2.0
