#Coverage (X)	Coverage
1.0	87.71352330317303
2.0	74.97563645832281
3.0	63.032069917321536
4.0	52.79702637810442
5.0	44.15961921581982
6.0	37.057520600770516
7.0	31.233341380569072
8.0	26.37544240672932
9.0	22.30718226499394
10.0	18.881293481463658
11.0	15.976333171470671
12.0	13.500232390705222
13.0	11.361656543366479
14.0	9.551487468801653
15.0	7.978176386228142
16.0	6.635328344047167
17.0	5.5172215434598115
18.0	4.542894061354204
19.0	3.707205458167678
20.0	2.99611131866655
21.0	2.4074391951785117
22.0	1.9247580398157567
23.0	1.5363794721441622
24.0	1.2170908600230632
25.0	0.96248611239875
26.0	0.7589185861465495
27.0	0.6048889863940303
28.0	0.48038631627225925
29.0	0.37956638556416067
30.0	0.3059479475417959
31.0	0.25151436431578134
32.0	0.20947291217832742
33.0	0.17844668767513383
34.0	0.15277508771637827
35.0	0.13689480121030329
36.0	0.12594076928510844
37.0	0.11752635928671396
38.0	0.111773962633265
39.0	0.10733727372502244
40.0	0.10488944536184874
41.0	0.1025334105623017
42.0	0.1012177028170953
43.0	0.09965721223557011
44.0	0.09846389590852311
45.0	0.097698949545034
46.0	0.09723998172694337
47.0	0.096505633217987
48.0	0.09586307827265728
49.0	0.09482275121831663
50.0	0.09353764132765718
51.0	0.09274209710962111
