#Coverage	Number of genomic locations
0.0	2741.0
1.0	5075.0
2.0	3771.0
3.0	2217.0
4.0	1336.0
5.0	631.0
6.0	206.0
7.0	204.0
8.0	53.0
9.0	64.0
10.0	32.0
11.0	9.0
12.0	2.0
13.0	12.0
14.0	4.0
15.0	9.0
16.0	5.0
17.0	3.0
18.0	5.0
19.0	1.0
20.0	10.0
21.0	5.0
22.0	4.0
23.0	6.0
24.0	5.0
25.0	3.0
26.0	7.0
27.0	7.0
29.0	6.0
30.0	4.0
31.0	1.0
32.0	4.0
33.0	2.0
34.0	2.0
35.0	4.0
36.0	4.0
37.0	5.0
38.0	6.0
39.0	7.0
40.0	3.0
43.0	3.0
44.0	10.0
45.0	5.0
46.0	8.0
47.0	3.0
48.0	1.0
49.0	15.0
50.0	6.0
51.0	1.0
52.0	1.0
55.0	1.0
57.0	1.0
58.0	4.0
60.0	3.0
61.0	1.0
62.0	1.0
63.0	1.0
64.0	1.0
65.0	2.0
66.0	5.0
68.0	2.0
69.0	19.0
