#Coverage (X)	Coverage
1.0	97.7789848512282
2.0	87.66974470396524
3.0	70.27581628342085
4.0	49.68917858651699
5.0	32.12625988291387
6.0	18.613072605468034
7.0	10.314442633834261
8.0	5.190415836803666
9.0	2.649526223670705
10.0	1.3338161627134895
11.0	0.8208099462852232
12.0	0.5190415836803624
13.0	0.18106101756291082
14.0	0.06638903977305688
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
