#Coverage	Number of genomic locations
0.0	87238.0
1.0	20501.0
2.0	31413.0
3.0	42453.0
4.0	51439.0
5.0	60222.0
6.0	66554.0
7.0	71092.0
8.0	73191.0
9.0	77041.0
10.0	76492.0
11.0	76839.0
12.0	77158.0
13.0	76638.0
14.0	75486.0
15.0	73641.0
16.0	72775.0
17.0	70679.0
18.0	68657.0
19.0	66098.0
20.0	64463.0
21.0	62850.0
22.0	61011.0
23.0	59438.0
24.0	57715.0
25.0	55929.0
26.0	53762.0
27.0	51978.0
28.0	49828.0
29.0	47234.0
30.0	45792.0
31.0	44451.0
32.0	42321.0
33.0	40738.0
34.0	40028.0
35.0	39335.0
36.0	37550.0
37.0	36137.0
38.0	34936.0
39.0	33924.0
40.0	33070.0
41.0	32386.0
42.0	31080.0
43.0	30033.0
44.0	28931.0
45.0	27767.0
46.0	26952.0
47.0	25828.0
48.0	25034.0
49.0	24011.0
50.0	23324.0
51.0	22665.0
52.0	22139.0
53.0	21347.0
54.0	20501.0
55.0	19982.0
56.0	19411.0
57.0	18703.0
58.0	18256.0
59.0	17760.0
60.0	17249.0
61.0	16274.0
62.0	15764.0
63.0	15317.0
64.0	15044.0
65.0	14362.0
66.0	13810.0
67.0	13747.0
68.0	12800.0
69.0	12715.0
70.0	12339.0
71.0	12026.0
72.0	11525.0
73.0	11322.0
74.0	11107.0
75.0	10882.0
76.0	10372.0
77.0	10132.0
78.0	9547.0
79.0	9395.0
80.0	9075.0
81.0	9067.0
82.0	8727.0
83.0	8397.0
84.0	8119.0
85.0	7691.0
86.0	7774.0
87.0	7330.0
88.0	7181.0
89.0	6836.0
90.0	6815.0
91.0	6808.0
92.0	6453.0
93.0	6161.0
94.0	6118.0
95.0	5800.0
96.0	5691.0
97.0	5522.0
98.0	5356.0
99.0	4966.0
100.0	4831.0
101.0	4622.0
102.0	4559.0
103.0	4333.0
104.0	4185.0
105.0	4116.0
106.0	4090.0
107.0	3691.0
108.0	3613.0
109.0	3563.0
110.0	3329.0
111.0	3111.0
112.0	3011.0
113.0	2844.0
114.0	2898.0
115.0	2592.0
116.0	2706.0
117.0	2403.0
118.0	2325.0
119.0	2299.0
120.0	2166.0
121.0	2042.0
122.0	1879.0
123.0	1735.0
124.0	1654.0
125.0	1636.0
126.0	1523.0
127.0	1473.0
128.0	1385.0
129.0	1327.0
130.0	1251.0
131.0	1273.0
132.0	1124.0
133.0	1051.0
134.0	1012.0
135.0	1003.0
136.0	888.0
137.0	839.0
138.0	806.0
139.0	785.0
140.0	680.0
141.0	673.0
142.0	666.0
143.0	665.0
144.0	566.0
145.0	500.0
146.0	479.0
147.0	427.0
148.0	423.0
149.0	328.0
150.0	358.0
151.0	340.0
152.0	289.0
153.0	258.0
154.0	232.0
155.0	259.0
156.0	232.0
157.0	220.0
158.0	211.0
159.0	173.0
160.0	172.0
161.0	161.0
162.0	161.0
163.0	132.0
164.0	162.0
165.0	144.0
166.0	129.0
167.0	107.0
168.0	90.0
169.0	99.0
170.0	83.0
171.0	74.0
172.0	89.0
173.0	66.0
174.0	70.0
175.0	62.0
176.0	58.0
177.0	68.0
178.0	64.0
179.0	41.0
180.0	30.0
181.0	43.0
182.0	35.0
183.0	36.0
184.0	33.0
185.0	31.0
186.0	25.0
187.0	31.0
188.0	26.0
189.0	30.0
190.0	21.0
191.0	18.0
192.0	12.0
193.0	18.0
194.0	11.0
195.0	13.0
196.0	13.0
197.0	14.0
198.0	17.0
199.0	9.0
200.0	12.0
201.0	15.0
202.0	12.0
203.0	12.0
204.0	15.0
205.0	6.0
206.0	8.0
207.0	8.0
208.0	9.0
209.0	7.0
210.0	6.0
211.0	10.0
212.0	3.0
213.0	3.0
214.0	9.0
215.0	6.0
216.0	1.0
217.0	4.0
218.0	3.0
219.0	2.0
220.0	4.0
221.0	8.0
222.0	7.0
223.0	7.0
224.0	3.0
225.0	3.0
226.0	7.0
227.0	2.0
228.0	5.0
229.0	3.0
230.0	5.0
231.0	6.0
232.0	3.0
233.0	2.0
234.0	3.0
235.0	5.0
236.0	4.0
237.0	3.0
238.0	6.0
239.0	7.0
240.0	3.0
241.0	4.0
242.0	1.0
243.0	2.0
244.0	4.0
245.0	1.0
246.0	5.0
247.0	2.0
248.0	3.0
249.0	2.0
250.0	5.0
251.0	3.0
252.0	3.0
253.0	3.0
254.0	2.0
255.0	2.0
256.0	4.0
257.0	2.0
258.0	1.0
259.0	1.0
260.0	3.0
261.0	1.0
262.0	5.0
263.0	3.0
264.0	4.0
265.0	2.0
266.0	2.0
267.0	4.0
268.0	1.0
269.0	3.0
270.0	6.0
271.0	5.0
272.0	3.0
273.0	4.0
274.0	1.0
275.0	3.0
276.0	9.0
277.0	4.0
278.0	5.0
279.0	8.0
280.0	5.0
282.0	2.0
283.0	2.0
284.0	1.0
285.0	2.0
286.0	3.0
287.0	3.0
288.0	1.0
289.0	6.0
290.0	1.0
291.0	2.0
292.0	4.0
293.0	2.0
294.0	3.0
295.0	6.0
296.0	2.0
297.0	3.0
298.0	3.0
299.0	2.0
300.0	7.0
301.0	3.0
302.0	3.0
303.0	2.0
304.0	3.0
305.0	2.0
306.0	2.0
307.0	6.0
308.0	5.0
309.0	4.0
310.0	3.0
311.0	4.0
312.0	4.0
313.0	4.0
314.0	3.0
315.0	5.0
316.0	2.0
317.0	2.0
318.0	2.0
319.0	4.0
320.0	5.0
321.0	3.0
322.0	5.0
323.0	3.0
324.0	3.0
325.0	6.0
326.0	5.0
327.0	4.0
328.0	2.0
329.0	4.0
330.0	5.0
331.0	3.0
332.0	5.0
333.0	2.0
335.0	3.0
336.0	4.0
338.0	4.0
339.0	2.0
340.0	1.0
341.0	4.0
342.0	2.0
343.0	2.0
345.0	6.0
346.0	4.0
347.0	3.0
348.0	4.0
349.0	3.0
350.0	3.0
351.0	3.0
352.0	2.0
353.0	4.0
355.0	1.0
356.0	2.0
357.0	3.0
358.0	1.0
359.0	6.0
360.0	2.0
361.0	4.0
362.0	4.0
363.0	3.0
364.0	3.0
365.0	3.0
366.0	6.0
367.0	2.0
368.0	3.0
369.0	3.0
370.0	4.0
372.0	1.0
373.0	4.0
374.0	1.0
375.0	5.0
376.0	5.0
377.0	1.0
378.0	6.0
379.0	3.0
380.0	3.0
381.0	5.0
382.0	3.0
383.0	8.0
384.0	3.0
385.0	5.0
386.0	3.0
