#Position (bp)	mapping quality
21.5	37.0
63.5	37.0
105.5	37.0
147.5	37.0
189.5	37.0
231.5	37.0
273.5	37.0
315.5	37.0
357.5	37.0
399.5	37.0
441.5	37.0
483.5	37.0
525.5	37.0
567.5	37.0
609.5	36.20879120879121
651.5	35.241379310344826
693.5	37.0
735.5	32.32
777.5	37.0
819.5	37.0
861.5	34.473684210526315
903.5	28.243243243243242
945.5	37.0
987.5	37.0
1029.5	37.0
1071.5	37.0
1113.5	37.0
1155.5	37.0
1197.5	37.0
1239.5	37.0
1281.5	35.15384615384615
1323.5	33.47552447552447
1365.5	35.81481481481482
1407.5	37.0
1449.5	37.0
1491.5	37.0
1533.5	37.0
1575.5	32.07368421052632
1617.5	33.5
1659.5	35.264150943396224
1701.5	37.0
1743.5	37.0
1785.5	37.0
1827.5	37.0
1869.5	37.0
1911.5	37.0
1953.5	37.0
1995.5	37.0
2037.5	37.0
2079.5	37.0
2121.5	37.0
2163.5	37.0
2205.5	37.0
2247.5	37.0
2289.5	37.0
2331.5	37.0
2373.5	37.0
2415.5	37.0
2457.5	37.0
2499.5	37.0
2541.5	37.0
2583.5	37.0
2625.5	37.0
2667.5	0.0
2709.5	0.0
2751.5	37.0
2793.5	33.91891891891892
2835.5	36.69747899159664
2877.5	0.0
2919.5	37.0
2961.5	37.0
3003.5	37.0
3045.5	37.0
3087.5	35.57692307692308
3129.5	37.0
3171.5	37.0
3213.5	37.0
3255.5	37.0
3297.5	37.0
3339.5	37.0
3381.5	37.0
3423.5	34.09473684210526
3465.5	29.83582089552239
3507.5	37.0
3549.5	34.529411764705884
3591.5	34.02808988764045
3633.5	37.0
3675.5	37.0
3717.5	37.0
3759.5	37.0
3801.5	37.0
3843.5	37.0
3885.5	37.0
3927.5	37.0
3969.5	37.0
4011.5	37.0
4053.5	37.0
4095.5	37.0
4137.5	37.0
4179.5	37.0
4221.5	37.0
4263.5	37.0
4305.5	37.0
4347.5	37.0
4389.5	37.0
4431.5	37.0
4473.5	37.0
4515.5	37.0
4557.5	37.0
4599.5	37.0
4641.5	35.5
4683.5	32.728813559322035
4725.5	35.095238095238095
4767.5	37.0
4809.5	37.0
4851.5	37.0
4893.5	37.0
4935.5	37.0
4977.5	37.0
5019.5	37.0
5061.5	37.0
5103.5	37.0
5145.5	37.0
5187.5	34.68807339449541
5229.5	30.454545454545453
5271.5	34.76271186440678
5313.5	37.0
5355.5	37.0
5397.5	37.0
5439.5	37.0
5481.5	37.0
5523.5	37.0
5565.5	37.0
5607.5	37.0
5649.5	37.0
5691.5	37.0
5733.5	0.0
5775.5	37.0
5817.5	37.0
5859.5	37.0
5901.5	37.0
5943.5	37.0
5985.5	37.0
6027.5	0.0
6069.5	37.0
6111.5	37.0
6153.5	37.0
6195.5	37.0
6237.5	33.92307692307692
6279.5	31.0
6321.5	29.285714285714285
6363.5	37.0
6405.5	37.0
6447.5	37.0
6489.5	37.0
6531.5	37.0
6573.5	37.0
6615.5	37.0
6657.5	37.0
6699.5	37.0
6741.5	37.0
6783.5	37.0
6825.5	37.0
6867.5	37.0
6909.5	37.0
6951.5	37.0
6993.5	37.0
7035.5	33.470588235294116
7077.5	31.38150289017341
7119.5	34.73913043478261
7161.5	37.0
7203.5	0.0
7245.5	37.0
7287.5	37.0
7329.5	37.0
7371.5	37.0
7413.5	32.01538461538462
7455.5	32.968
7497.5	34.69230769230769
7539.5	37.0
7581.5	37.0
7623.5	37.0
7665.5	34.52577319587629
7707.5	32.69230769230769
7749.5	25.0
7791.5	0.0
7833.5	37.0
7875.5	37.0
7917.5	37.0
7959.5	37.0
8001.5	37.0
8043.5	37.0
8085.5	37.0
8127.5	37.0
8169.5	37.0
8211.5	37.0
8253.5	37.0
8295.5	37.0
8337.5	37.0
8379.5	37.0
8421.5	37.0
8463.5	37.0
8505.5	37.0
8547.5	37.0
8589.5	37.0
8631.5	36.80952380952381
8673.5	34.95744680851064
8715.5	35.6058091286307
8757.5	37.0
8799.5	37.0
8841.5	37.0
8883.5	37.0
8925.5	37.0
8967.5	37.0
9009.5	37.0
9051.5	36.13157894736842
9093.5	33.66225165562914
9135.5	36.84415584415584
9177.5	37.0
9219.5	37.0
9261.5	37.0
9303.5	36.10280373831776
9345.5	34.63380281690141
9387.5	35.867924528301884
9429.5	37.0
9471.5	34.85945945945946
9513.5	32.05882352941177
9555.5	25.0
9597.5	37.0
9639.5	37.0
9681.5	34.729729729729726
9723.5	30.28
9765.5	31.06741573033708
9807.5	25.29268292682927
9849.5	32.16883116883117
9891.5	35.39234449760765
9933.5	37.0
9975.5	37.0
10017.5	37.0
10059.5	37.0
10101.5	37.0
10143.5	37.0
10185.5	37.0
10227.5	37.0
10269.5	0.0
10311.5	29.363636363636363
10353.5	34.168539325842694
10395.5	34.54696132596685
10437.5	37.0
10479.5	37.0
10521.5	37.0
10563.5	37.0
10605.5	36.389830508474574
10647.5	34.40350877192982
10689.5	37.0
10731.5	37.0
10773.5	37.0
10815.5	37.0
10857.5	37.0
10899.5	37.0
10941.5	33.44444444444444
10983.5	35.12048192771084
11025.5	37.0
11067.5	37.0
11109.5	30.36842105263158
11151.5	25.0
11193.5	0.0
11235.5	37.0
11277.5	37.0
11319.5	37.0
11361.5	37.0
11403.5	37.0
11445.5	37.0
11487.5	37.0
11529.5	37.0
11571.5	37.0
11613.5	37.0
11655.5	37.0
11697.5	37.0
11739.5	0.0
11781.5	0.0
11823.5	37.0
11865.5	37.0
11907.5	37.0
11949.5	37.0
11991.5	37.0
12033.5	37.0
12075.5	36.90080428954423
12117.5	37.0
12159.5	37.0
12201.5	37.0
12243.5	37.0
12285.5	37.0
12327.5	37.0
12369.5	37.0
12411.5	37.0
12453.5	37.0
12495.5	37.0
12537.5	37.0
12579.5	37.0
12621.5	37.0
12663.5	37.0
12705.5	37.0
12747.5	37.0
12789.5	0.0
12831.5	37.0
12873.5	37.0
12915.5	37.0
12957.5	35.05882352941177
12999.5	33.0
13041.5	32.509803921568626
13083.5	37.0
13125.5	37.0
13167.5	37.0
13209.5	37.0
13251.5	37.0
13293.5	35.11063829787234
13335.5	36.47034482758621
13377.5	36.691959229898075
13419.5	36.78181818181818
13461.5	36.88821752265861
13503.5	37.0
13545.5	37.0
13587.5	37.0
13629.5	37.0
13671.5	0.0
13713.5	37.0
13755.5	37.0
13797.5	37.0
13839.5	37.0
13881.5	37.0
13923.5	37.0
13965.5	37.0
14007.5	35.392857142857146
14049.5	33.352
14091.5	37.0
14133.5	37.0
14175.5	37.0
14217.5	37.0
14259.5	37.0
14301.5	37.0
14343.5	37.0
14385.5	37.0
14427.5	0.0
14469.5	37.0
14511.5	37.0
14553.5	37.0
14595.5	36.57142857142857
14637.5	31.96
14679.5	34.51724137931034
14721.5	34.26315789473684
14763.5	37.0
14805.5	37.0
14847.5	37.0
14889.5	37.0
14931.5	37.0
14973.5	37.0
15015.5	37.0
15057.5	37.0
15099.5	0.0
15141.5	37.0
15183.5	37.0
15225.5	0.0
15267.5	0.0
15309.5	37.0
15351.5	37.0
15393.5	37.0
15435.5	31.776470588235295
15477.5	34.48571428571429
15519.5	37.0
15561.5	37.0
15603.5	37.0
15645.5	37.0
15687.5	37.0
15729.5	0.0
15771.5	37.0
15813.5	34.0
15855.5	32.935483870967744
15897.5	29.695652173913043
15939.5	25.0
15981.5	0.0
16023.5	0.0
16065.5	37.0
16107.5	37.0
